,track_id,track,artist,duration_ms,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre,era
3575,4kS01K2URu522IomkGOFHl,Beautiful Scars,Maximillian,194757,59,0.7,0.457,G,-8.667,major,0.0621,0.369,0.0,0.106,0.433,144.905,TIKTOK PHILIPPINES,10s
3576,3BPaRQUqKHn81uwTPIEQ9t,Such a Whore (Baddest Version),JVLA,136521,0,0.687,0.682,C# / Db,-5.704,minor,0.0357,0.00847,0.475,0.129,0.222,91.133,TIKTOK PHILIPPINES,20s
3577,4Bmk7JYOquhWmSMMW4WebM,NUNU NANA,Jessi,195836,41,0.743,0.6890000000000001,G,-2.846,major,0.0289,0.0198,0.0,0.708,0.504,104.936,TIKTOK PHILIPPINES,20s
3578,1bRjwdtScY2eMe9uMmsOkG,Do It,Chloe x Halle,176786,61,0.701,0.6679999999999999,F,-7.287000000000001,minor,0.0516,0.0916,2.09e-06,0.111,0.5529999999999999,82.978,TIKTOK PHILIPPINES,20s
3579,4ecVWqbtW6phQGpZMAyqIU,Not Shy,ITZY,177728,75,0.7759999999999999,0.911,D,-3.08,minor,0.131,0.155,2.59e-06,0.268,0.56,101.027,TIKTOK PHILIPPINES,20s
3580,7Fmf6fTY42XwGIgQQR69CU,Frikitona,Plan B,183133,61,0.944,0.8740000000000001,D,-3.814,minor,0.175,0.316,0.0,0.374,0.836,120.056,TIKTOK PHILIPPINES,10s
3581,3kkfrqcCej5zj9A64YF8dK,CHECKMATE,THE BOYZ,191426,32,0.669,0.913,D,-3.703,major,0.0793,0.00981,0.0,0.059,0.742,99.986,TIKTOK PHILIPPINES,20s
3582,74tLlkN3rgVzRqQJgPfink,Money Trees,Kendrick Lamar,386906,71,0.716,0.531,G,-7.355,major,0.122,0.0703,0.0,0.2239999999999999,0.344,71.994,TIKTOK PHILIPPINES,10s
3583,4jbmgIyjGoXjY01XxatOx6,Dark Horse,Katy Perry,215672,73,0.647,0.585,F# / Gb,-6.122999999999999,major,0.0512,0.00314,0.0,0.165,0.353,131.934,TIKTOK PHILIPPINES,10s
3584,6u0pZe0Uv7GBR0iKptfWRf,DESSERT,HYO,200706,62,0.713,0.927,D,-3.28,major,0.1119999999999999,0.0586,3.54e-05,0.373,0.618,115.072,TIKTOK PHILIPPINES,20s
3585,7xcAVSOiUW7DMKVN5PB6nr,"Count 1, 2",TOO,220320,23,0.753,0.792,F,-5.428,minor,0.0725,0.0714,0.0,0.122,0.754,119.918,TIKTOK PHILIPPINES,20s
3590,5mu1uv8RmzDkF8foePK5qa,Kream (feat. Tyga),Iggy Azalea,166626,70,0.785,0.425,A# / Bb,-6.665,major,0.1369999999999999,0.0335,4.36e-06,0.108,0.192,174.028,TIKTOK PHILIPPINES,10s
3593,4uQY80TKE1u4ZQZQKHzVEi,The One That Got Away,Katy Perry,227333,70,0.691,0.795,C# / Db,-4.021,minor,0.0355,0.0008119999999999,1.02e-06,0.156,0.8759999999999999,133.971,TIKTOK PHILIPPINES,10s
3597,3omvXShuRPM3zbDpWYqf5g,MORE & MORE,TWICE,199653,72,0.7390000000000001,0.841,F,-4.162,major,0.06,0.0312,0.0,0.173,0.562,106.99,TIKTOK PHILIPPINES,20s
3598,1oACG26rFg4XwAkW5oGGUa,Colors,Stella Jang,101635,58,0.7340000000000001,0.295,B,-8.597999999999999,major,0.889,0.636,0.0,0.0741,0.7879999999999999,199.99,TIKTOK PHILIPPINES,10s
3600,1Gw2MVjOeA29OIwt4k7PZ4,What You Waiting For,SOMI,175327,6,0.765,0.688,G# / Ab,-5.072,major,0.0731,0.0164,0.0,0.1119999999999999,0.794,121.901,TIKTOK PHILIPPINES,20s
3610,20WcuVfTh0QFkIsJUncdON,Tokyo Drift,KVSH,222857,71,0.8440000000000001,0.767,A# / Bb,-4.851,major,0.0461,0.053,1.53e-05,0.166,0.342,125.989,TIKTOK PHILIPPINES,10s
3612,22dG2tDwIPvTtkBQCt4JqE,Get Busy (feat. Fat Man Scoop & Crooklyn Clan) - Clap Your Hands NowRemix,Sean Paul,237920,43,0.5770000000000001,0.6829999999999999,F,-5.9,minor,0.119,0.293,8.38e-06,0.105,0.642,106.237,TIKTOK PHILIPPINES,00s
3615,0Pq9K4yZlPwjjRMeIkBCpg,Wishful Drinking,Tessa Violet,195110,59,0.809,0.35,G,-7.818,minor,0.305,0.5489999999999999,4.58e-06,0.1169999999999999,0.402,68.015,TIKTOK PHILIPPINES,10s
3618,0mZcIuwAUL7sI6amRIDxuQ,Nights Like This,Merty Shango,189819,42,0.782,0.772,C# / Db,-6.322,major,0.0614,0.297,0.0,0.0933,0.67,172.03799999999998,TIKTOK PHILIPPINES,20s
3620,6Qfcmquht50gQWbUbXiDnf,Never Going Back,Merty Shango,184046,39,0.6970000000000001,0.298,G# / Ab,-10.782,minor,0.122,0.6890000000000001,0.0194,0.19,0.14,75.0,TIKTOK PHILIPPINES,20s
3621,3eWmVWQDV9DhfmgqDLlFWu,Lights Go Out,Riotron,212173,36,0.639,0.845,C# / Db,-5.096,minor,0.0664,0.0184,0.00266,0.121,0.341,114.98,TIKTOK PHILIPPINES,20s
3624,5wC03VqWwgDZGGsiornXul,Ways to Say I'm Beautiful,ellee ven,237349,32,0.6559999999999999,0.501,G,-8.484,major,0.0584,0.306,3.97e-05,0.0686,0.118,74.993,TIKTOK PHILIPPINES,20s
3625,2CIXqHi711Enk2BDqlhmeo,T.S.O.F.H (The Story of Frankie's House),black a.m.,211200,32,0.815,0.752,G,-4.296,major,0.0441,0.00118,0.372,0.0879,0.422,125.006,TIKTOK PHILIPPINES,20s
3632,1IkUS4lDSOrQCIY28IPszl,Firefly,Wabi Sabi,187500,17,0.63,0.1159999999999999,C,-15.08,minor,0.0454,0.861,0.8440000000000001,0.147,0.299,128.07,TIKTOK PHILIPPINES,20s
3644,4KppkflX7I3vJQk7urOJaS,Skechers (feat. Tyga) - Remix,DripReport,163800,62,0.875,0.4429999999999999,C# / Db,-7.461,major,0.143,0.173,3.24e-05,0.0891,0.306,100.012,TIKTOK PHILIPPINES,20s
3652,6gBFPUFcJLzWGx4lenP6h2,goosebumps,Travis Scott,243836,87,0.841,0.728,G,-3.37,major,0.0484,0.0847,0.0,0.149,0.43,130.049,TIKTOK PHILIPPINES,10s
3656,6pRlNmiZ15mI0D0Y9VBjDe,Who's That What's That,Niko B,240000,62,0.86,0.6679999999999999,G,-8.512,major,0.221,0.423,1.85e-06,0.096,0.237,128.096,TIKTOK PHILIPPINES,20s
3662,0wI0S42Cg41DVGqIIVimTM,Blinding Lights,Revelries,176406,65,0.61,0.711,D,-6.6610000000000005,minor,0.0797,0.178,0.0,0.373,0.5,99.99,TIKTOK PHILIPPINES,20s
3667,1aBEFbPUBkPqjpgpwIeN0W,I Love Girls,Pleasure P,233749,53,0.772,0.693,G,-8.491,major,0.146,0.0221,0.0,0.175,0.645,120.197,TIKTOK PHILIPPINES,10s
3683,340mIDGqsUc0HqBa8CuYKi,Halik,Gloc 9,242718,52,0.6579999999999999,0.812,A# / Bb,-7.507000000000001,major,0.057,0.335,0.0,0.3339999999999999,0.942,79.995,TIKTOK PHILIPPINES,20s
3684,26qTfV9DiLTT5fBXgvXfFx,Your Soul,Forrest.,178285,63,0.846,0.851,A,-3.821,major,0.372,0.0244,0.0,0.153,0.8220000000000001,139.966,TIKTOK PHILIPPINES,10s
3685,2mDeWOqdFJLV2zsrTCPG0T,Me & You ◑,HONNE,243600,0,0.769,0.546,C,-8.27,minor,0.0387,0.645,0.000231,0.0948,0.603,120.22,TIKTOK PHILIPPINES,10s
3686,3Plhh6DXBtxPF59hxZVwBO,Sunday,Forrest.,154681,51,0.838,0.7,D,-5.235,major,0.382,0.149,1.86e-06,0.239,0.7979999999999999,84.01799999999999,TIKTOK PHILIPPINES,10s
3687,2SGaKM9YuBID0wgDD4VbPx,I Will Be Okay,mimi bay,125200,25,0.5660000000000001,0.214,C,-10.089,major,0.0441,0.952,0.0,0.0984,0.5429999999999999,154.75,TIKTOK PHILIPPINES,10s
3688,1gewwJHPkvysxLEGgOKQuB,Why Not Me,Forrest.,195000,61,0.905,0.721,G,-6.922000000000001,major,0.31,0.48,0.0,0.528,0.695,145.958,TIKTOK PHILIPPINES,10s
3689,37bzRWttPZDNdJs24NZaUG,walk but in a garden,LLusion,110250,1,0.773,0.4029999999999999,G# / Ab,-11.617,minor,0.0449,0.8590000000000001,0.944,0.1,0.537,80.003,TIKTOK PHILIPPINES,10s
3690,4IqcDJPzDL8Hq8KwAX4jUE,human,Christina Perri,250706,68,0.439,0.489,G# / Ab,-6.2860000000000005,major,0.0368,0.132,0.000643,0.114,0.253,143.808,TIKTOK PHILIPPINES,10s
