Genre,Count
pop emo,18
french soundtrack,18
jazz rap,18
mambo,18
proto-metal,18
german power metal,18
viral trap,18
boston rock,18
acid house,18
spiritual jazz,18
indie pop,18
late romantic era,18
chillhop,18
spanish pop,18
austindie,18
battle rap,17
latin rock,17
brega,17
electrofox,17
norwegian metal,17
k-pop,17
puerto rican pop,17
folk punk,17
political hip hop,17
electro,17
traditional country,17
st louis rap,17
british soundtrack,17
j-rock,17
melodic hardcore,17
jangle pop,17
psychobilly,17
vintage french electronic,17
pinoy r&b,17
violao,17
filter house,16
jovem guarda,16
21st century classical,16
melodic death metal,16
grupera,16
anime,16
new americana,16
no wave,16
flamenco,16
new jersey rap,16
vocal house,16
barbadian pop,16
poetry,16
straight edge,16
us power metal,16
country gospel,16
gabber,16
bow pop,16
jazztronica,16
norwegian black metal,16
memphis blues,16
ohio hip hop,16
florida rap,16
hammond organ,16
easycore,15
instrumental soul,15
steampunk,15
ska punk,15
celtic rock,15
ghazal,15
vintage jazz,15
deep talent show,15
latin jazz,15
canadian indie,15
dutch edm,15
madchester,15
classic thai pop,15
deep soft rock,15
british jazz,15
shred,15
pinoy trap,15
funk mtg,15
torch song,15
greek metal,15
neofolk,15
polish jazz,15
houston rap,15
canadian contemporary r&b,15
electro swing,15
spytrack,15
crust punk,15
dub,15
carnatic instrumental,15
lgbtq+ hip hop,15
jazz organ,15
virginia hip hop,15
folk-pop,14
post-metal,14
minimal techno,14
instrumental funk,14
north carolina hip hop,14
acid rock,14
cosmic american,14
danspunk,14
carnatic vocal,14
rare groove,14
blackgaze,14
epicore,14
atlanta bass,14
instrumental surf,14
brazilian rock,14
tropical,14
neo classical metal,14
calypso,14
neo-psychedelic,14
alternative country,14
swamp rock,14
gothic symphonic metal,14
emo punk,14
abstract,14
orchestra,14
tennessee hip hop,14
danish metal,14
new orleans blues,14
new orleans soul,14
ska revival,14
spanish metal,14
british experimental,14
rap rock,14
anarcho-punk,14
avant-garde metal,14
swedish pop,14
german rock,14
stoner rock,13
rumba,13
proto-techno,13
grave wave,13
tropicalia,13
country pop,13
futuristic swag,13
canadian punk,13
future funk,13
underground hip hop,13
asmr,13
filthstep,13
boogaloo,13
birmingham metal,13
vocal harmony group,13
mollywood,13
tape club,13
footwork,13
desi hip hop,13
instrumental hip hop,13
south carolina hip hop,13
colombian pop,13
dutch rock,13
indie poptimism,13
piedmont blues,13
swedish electropop,13
acid jazz,13
comic metal,13
dark cabaret,13
stoner metal,13
mariachi,13
canadian country,13
moombahton,13
classic french pop,13
cancion melodica,13
glitch,13
solo wave,13
afrofuturism,13
power-pop punk,12
bedroom pop,12
samba-rock,12
neoclassical darkwave,12
boston hardcore,12
impressionism,12
contemporary jazz,12
deep freestyle,12
piano blues,12
children's music,12
christian hip hop,12
french indie pop,12
gothenburg metal,12
supergroup,12
boston hip hop,12
techno,12
sleaze rock,12
contemporary vocal jazz,12
chillwave,12
happy hardcore,12
nwobhm,12
italian disco,12
latin arena pop,12
mizrahi,12
synth funk,12
texas blues,12
uk82,12
big beat,12
cello,12
ethereal wave,12
jazz violin,12
p-pop,12
hyphy,12
norwegian jazz,12
art punk,12
xenharmonic,12
instrumental post-rock,12
early french punk,12
go-go,12
classical performance,11
canadian electronic,11
chill lounge,11
nintendocore,11
nyc rap,11
nu disco,11
swedish jazz,11
neo-classical,11
swamp pop,11
french metal,11
british industrial,11
azontobeats,11
indorock,11
brazilian soul,11
exotica,11
traditional folk,11
samba-enredo,11
alternative pop,11
brooklyn indie,11
nwothm,11
detroit rock,11
cowboy western,11
neoclassicism,11
sertanejo universitario,11
psicodelia brasileira,11
mandolin,11
early romantic era,11
baroque,11
jawaiian,11
atmospheric black metal,11
psychedelic soul,11
german punk,11
cartoon,11
axe,11
harlem renaissance,11
disco house,11
double drumming,11
operatic pop,11
latin metal,11
midwest emo,11
irish rock,11
french indietronica,11
modern indie pop,11
punk blues,11
mexican classic rock,11
reggaeton colombiano,11
austrian metal,11
classic pakistani pop,11
rune folk,11
microhouse,11
classic opm,11
beach music,11
slowcore,11
pop soul,10
sludge metal,10
souldies,10
funk mandelao,10
christian punk,10
pop romantico,10
anthem emo,10
rap latina,10
riot grrrl,10
aesthetic rap,10
scottish rock,10
chaotic hardcore,10
punk 'n' roll,10
drone folk,10
dutch pop,10
socal pop punk,10
gospel rap,10
swedish synthpop,10
elephant 6,10
dark pop,10
christian rock,10
rock nacional,10
post-rock,10
electropowerpop,10
punjabi pop,10
dmv rap,10
american modern classical,10
bhangra,10
bass house,10
drone metal,10
comedy,10
early reggae,10
black 'n' roll,10
italian opera,10
folk metal,10
sad rap,10
chillstep,10
otacore,10
french synthpop,10
c86,10
brit funk,10
world worship,10
trap soul,10
early music,10
chopped and screwed,10
serialism,10
indie folk,10
florida drill,9
chicago indie,9
drill and bass,9
pagan black metal,9
funk viral,9
viking metal,9
chicago bop,9
modern jazz trio,9
swedish black metal,9
dangdut remix,9
bounce,9
melodic deathcore,9
melbourne bounce international,9
classic israeli pop,9
scandipop,9
funk rj,9
electro jazz,9
sound art,9
deep new wave,9
j-poprock,9
synthwave,9
cyber metal,9
brazilian punk,9
social media pop,9
dark hardcore,9
florida death metal,9
finnish death metal,9
cumbia sonidera,9
swedish death metal,9
epic doom,9
hurdy-gurdy,9
liedermacher,9
soca,9
celtic,9
jump blues,9
spanish invasion,9
bakersfield sound,9
sertanejo,9
black americana,9
latin afrobeat,9
moog,9
austropop,9
free improvisation,9
italian romanticism,9
early us punk,9
a cappella,9
post-disco soul,9
jazz clarinet,9
electric bass,9
rock catala,9
mod revival,9
musique concrete,9
appalachian folk,9
german hard rock,8
math rock,8
nu gaze,8
chutney,8
new age,8
classic praise,8
experimental ambient,8
cante flamenco,8
new beat,8
flamenco guitar,8
lovers rock,8
hare krishna,8
canadian hardcore,8
brazilian death metal,8
cowpunk,8
german thrash metal,8
welsh rock,8
uk doom metal,8
brazilian metal,8
shibuya-kei,8
neo-trad metal,8
afro-funk,8
bubblegum dance,8
jamgrass,8
emocore,8
neue deutsche welle,8
nouvelle chanson francaise,8
yodeling,8
depressive black metal,8
gospel r&b,8
french reggae,8
german romanticism,8
country rap,8
dubstep,8
old-time,8
jazz drums,8
ambient worship,8
shimmer pop,8
la indie,8
cloud rap,8
canadian trap,8
pittsburgh rap,8
classical era,8
seattle hip hop,8
electra,8
abstract beats,8
australian electropop,8
new weird america,8
cymraeg,8
boston metal,8
indie hip hop,8
french punk,8
death 'n' roll,8
rock drums,8
swedish doom metal,8
sad lo-fi,8
australian metal,8
reggaeton flow,8
classic schlager,8
south african jazz,8
dansband,8
british contemporary classical,8
hyperpop,8
rock keyboard,8
future house,8
acoustic punk,8
christian hardcore,8
glam punk,8
scottish new wave,8
modern power pop,8
metal guitar,8
goregrind,7
kabarett,7
anti-folk,7
australian hip hop,7
synthesizer,7
norwegian pop,7
funk paulista,7
bachata,7
dark trap,7
sufi,7
queercore,7
brazilian black metal,7
sped up,7
drill,7
california hardcore,7
ethio-jazz,7
arrocha,7
deep happy hardcore,7
gbvfi,7
sky room,7
autonomous black metal,7
musica tradicional cubana,7
stride,7
argentine punk,7
german house,7
rap dominicano,7
experimental hip hop,7
austro-german modernism,7
uk hip hop,7
baton rouge rap,7
samba-jazz,7
irish folk,7
rock urbano mexicano,7
brega funk,7
comedy rap,7
uk experimental electronic,7
german black metal,7
finnish melodeath,7
italian library music,7
modern dream pop,7
ballet class,7
norwegian experimental,7
opera,7
italo dance,7
boston punk,7
philly indie,7
jamaican dancehall,7
bouncy house,7
vintage broadway,7
fingerstyle,7
oi,7
copla,7
progressive metalcore,7
jamaican ska,7
mississippi hip hop,7
rock nacional brasileiro,7
j-metal,7
melodic metal,7
finnish metal,7
medieval rock,7
hindustani classical,7
australian alternative rock,7
reggae rock,7
future ambient,7
classic psychedelic rock,7
plugg,7
british modern classical,7
partido alto,7
finnish power metal,7
melodic dubstep,7
pop nacional,7
tin pan alley,7
alternative emo,7
float house,7
rage rap,7
russian romanticism,7
vapor twitch,7
livetronica,7
manila sound,7
future rock,7
pastoral,7
honky tonk,7
hawaiian,7
uk funky,7
kawaii future bass,7
detroit house,7
medieval folk,7
sitar,7
etherpop,7
martial industrial,7
gymcore,7
pirate,7
detroit techno,6
brazilian punk rock,6
smooth saxophone,6
space rock,6
french romanticism,6
veena,6
trancecore,6
dc hardcore,6
weirdcore,6
old school dancehall,6
celtic punk,6
jazz quartet,6
british death metal,6
brazilian thrash metal,6
orthodox chant,6
electronic rock,6
garage house,6
broken beat,6
nova mpb,6
canadian pop punk,6
indie surf,6
visual kei,6
deep classic garage rock,6
mande pop,6
post-minimalism,6
la pop,6
hungarian rock,6
french black metal,6
k-pop boy group,6
basshall,6
hard alternative,6
dreamo,6
dunedin sound,6
euroska,6
deep disco house,6
theme,6
australian country,6
canterbury scene,6
musica popular paraense,6
berlin school,6
bass music,6
rap kreyol,6
redneck,6
ostrock,6
uk metalcore,6
rave,6
tzadik,6
teen pop,6
japanese vgm,6
italian jazz,6
traditional rockabilly,6
dembow,6
pinoy alternative rap,6
healing,6
italian soundtrack,6
meditation,6
jazz orchestra,6
indian violin,6
lo-fi cover,6
german trance,6
vegan straight edge,6
german indie,6
hypnagogic pop,6
dutch trance,6
anthem worship,6
deep punk rock,6
antideutsche,6
brazilian indie,6
christian a cappella,6
scottish indie,6
nigerian hip hop,6
tejano,6
indie garage rock,6
deep christian rock,6
italian new wave,6
german jazz,6
usbm,6
uplifting trance,6
chilean metal,6
gen z singer-songwriter,6
sleep,6
westcoast flow,6
